geometry,address
POINT (-8.503530038755173 51.87545001594137),"Inishowen, 1 The Headlands, Cork"
POINT (-8.455629976678466 51.88458000397523),"Lauderdale, Loreto Park, Cork"
POINT (-8.173260003409013 51.91327000125929),"Block A, APARTMENT 1 The Square, Midleton, Cork"
POINT (-8.530639963471629 51.88108998904056),"Ferville, Rossa Avenue, Cork"
POINT (-8.434519985893047 51.8931800042713),"67 Avondale Park, Cork"
POINT (-8.459829980721622 51.896909993093885),"27 Hibernian Buildings, Cork"
POINT (-8.500810027355698 51.90197999677713),"1 Monastery Avenue, Cork"
POINT (-8.534269998098836 51.8883400000112),"Parchment Square, APARTMENT 100 Model Farm Road, Cork"
POINT (-8.407650035064506 51.86834999912807),"2 Ardkeale, Cork"
POINT (-8.49337997310488 51.90442998516579),"28 Chapel Field, Gurranebraher, Cork"
POINT (-8.444829978255939 51.88592001883589),"Rosapenna, Browningstown Park West, Cork"
POINT (-8.465368767253185 51.89417449526796),"50B South Terrace, Cork"
POINT (-8.564850030729957 51.93378998988018),"3 Millstream Row, Blarney, Cork"
POINT (-8.407956522863424 51.86392547896159),"27 Fort Hill, Douglas, Cork"
POINT (-8.411040011984767 51.88747000037108),"12 Sharman Avenue, Blackrock, Cork"
POINT (-8.56710995946412 51.93672998432848),"71 Cluain Ard, Blarney, Cork"
POINT (-8.574877191643205 51.90273770822427),"Healy's Bridge, Cork"
POINT (-8.477549994586752 51.90583998891796),"13 Farren Street, Cork"
POINT (-8.427310040419599 51.8740400121892),"10 The Paddocks, Douglas, Cork"
POINT (-8.474780027044375 51.91645001150502),"101 Commons Road, Cork"
POINT (-8.502669971670343 51.87762000685447),"72 Southbury Road, Cork"
POINT (-8.49529004120049 51.87726000411308),"12 Harley Wood, Cork"
POINT (-8.423800034645865 51.88755000563691),"53 Skehard Road, Cork"
POINT (-8.408215356371784 51.923569020628356),"63 Castlejane Cottages, Glanmire, Cork"
POINT (-8.408215356371784 51.923569020628356),"55 Castlejane Cottages, Glanmire, Cork"
POINT (-8.472469974529218 51.89393001696743),"6 Red Abbey Street, Cork"
