geometry,address
POINT (-8.458100039725252 51.92351997919545),"20 Brookwood, Ballyvolane, Cork"
POINT (-8.597810020948685 51.886459981038456),"25 Cherry Walk, Ballincollig, Cork"
POINT (-8.38051999378041 51.8799099847115),"The Lodge, Hop Island, Cork"
POINT (-8.399309999999957 51.92694000000006),"Glanmire, Cork"
POINT (-8.423770027432482 51.8909300080924),"2 Rosegreen Avenue, Cork"
POINT (-8.428654558760314 51.897904611353674),"Barrington's Avenue, Cork"
POINT (-8.55457999999993 51.85483000000005),"Waterfall, Cork"
POINT (-8.457309961531934 51.902480019211055),"Arcadia Hall, APARTMENT 1 Lower Glanmire Road, Cork"
POINT (-8.437509978393791 51.87998001551256),"Douglas Wells, APARTMENT 13 Well Road, Douglas, Cork"
POINT (-8.504149964314024 51.894369983065104),"5 Victoria Villas, Cork"
POINT (-8.483450016231956 51.89588999929646),"Lancaster Gate, 1 Western Road, Cork"
POINT (-8.494139960265784 51.90102999187121),"153 Blarney Street, Cork"
POINT (-8.504829988118644 51.90053998581158),"12 Briarscourt, Cork"
POINT (-8.393480008651267 51.88259001443282),"68 Longshore Drive, Cork"
POINT (-8.515169987694918 51.89093998255717),"1 Farranlea Park, Cork"
POINT (-8.60736729380626 51.925336094772064),"Tower Cross, Cork"
POINT (-8.6146054889772 51.92813119259731),"Tower, Cork"
POINT (-8.332980018264152 51.864390010882346),"1 Riverview Terrace, Monkstown, Cork"
POINT (-8.461839961103095 51.906780019359104),"Bellevue Court, APARTMENT 1 Old Youghal Road, Cork"
POINT (-8.474650023726127 51.89416001639057),"3 Abbey Street, Cork"
POINT (-8.395420000141229 51.94750001744717),"4 Cúil Chluthair, Sarsfieldscourt, Cork"
POINT (-8.491929987674553 51.90361999995244),"228 Cathedral Road, Gurranebraher, Cork"
POINT (-8.392499996531996 51.87588998203907),"12 Manor Drive, Cork"
POINT (-8.47676997467724 51.89513998660033),"Keyser's Court, APARTMENT 1 French's Quay, Cork"
POINT (-8.477770019545119 51.90242000478432),"6 Old Friary Place, Cork"
POINT (-8.481770031378488 51.888539992220956),"1 Parnell Terrace, Cork"
POINT (-8.394939968546367 51.91824000883764),"The Cottage, Glanmire, Ballinglanna (Glanmire), Cork"
POINT (-8.394939968546367 51.91824000883764),"The Cottage, Glanmire, Ballinglanna (Glanmire), Cork"
POINT (-8.394939968546367 51.91824000883764),"The Cottage, Glanmire, Ballinglanna (Glanmire), Cork"
POINT (-8.428310001468418 51.917300020306044),"41 Barnavara Crescent, Cork"
POINT (-8.503840001534599 51.871419996894616),"149 Elm Park, Cork"
POINT (-8.474729987082412 51.914469996427414),"1 Golden Villas, Cork"
POINT (-8.48602996602935 51.91939000595332),"21 Hillview Drive, Onslow Gardens, Cork"
POINT (-8.472929973375471 51.89396999864559),"20 Mary Street, Cork"
POINT (-8.48362986908069 51.896777006337246),"Lancaster Quay, Cork"
POINT (-8.4641699625478 51.921000001915274),"56 Thorndale Estate, Cork"
POINT (-8.592961460750827 51.88119686823927),"Maglin, Ballincollig, Cork"
POINT (-8.455780012745322 51.9084999858907),"7 St Bridget's Villas, Cork"
POINT (-8.47351997554 51.91251998856316),"22 Orchard Court, Cork"
POINT (-8.365802063304798 51.8702818810242),"Meadowlands, Cork"
POINT (-8.620579963838964 51.88589001162251),"33 Wyndham Downs, Ballincollig, Cork"
POINT (-8.485539959969714 51.90099998465786),"Altus, 14 Sunday's Well Road, Cork"
POINT (-8.491550036003616 51.908260012002785),"8 Churchfield Place East, Cork"
POINT (-8.616469981435898 51.887569996475975),"65 Westcourt, Ballincollig, Cork"
POINT (-8.480569994300879 51.90171001567586),"North Abbey Hall, APARTMENT 1 North Abbey Street, Cork"
POINT (-8.530239979052084 51.88233000779633),"Wayside, Rossa Avenue, Cork"
POINT (-8.57530000087587 51.88384000765339),"28 Highfield Avenue, Ballincollig, Cork"
POINT (-8.47426998823613 51.89480001660752),"12 Cove Street, Cork"
POINT (-8.43946002816756 51.86508000915174),"1 James Connolly Place, Douglas, Cork"
POINT (-8.414290011122034 51.874389998556296),"14 Rochestown Rise, Cork"
POINT (-8.375151137943497 51.87754787863541),"Rochestown, Cork"
POINT (-8.475080015359026 51.91364002037497),"48 Commons Road, Cork"
POINT (-8.484326623342511 51.88028257384014),"53 Lower Pouladuff Road, Cork"
POINT (-8.474650023726127 51.89416001639057),"3 Abbey Street, Cork"
POINT (-8.48362986908069 51.896777006337246),"Lancaster Quay, Cork"
POINT (-8.446509963109406 51.90486999317298),"4 Clifton Villas, Montenotte, Cork"
POINT (-8.40258996393652 51.89011998096953),"14 Ballinure Cottages, Mahon, Cork"
POINT (-8.498039975994288 51.89774998552062),"Laurels, 53 Sunday's Well Road, Cork"
POINT (-8.535220003004753 51.878069989326434),"47 Uam-Var Drive, Cork"
POINT (-8.469539996455211 51.91509998027007),"7 Dublin Hill Lower, Cork"
POINT (-8.498795392804201 51.88565975025226),"1A The Village, Cork"
POINT (-8.512253175166382 51.8515544949882),"Spur Hill, Cork"
POINT (-8.435929999999928 51.87721000000005),"Douglas, Cork"
POINT (-8.399520008079492 51.87434000050385),"Anglesea House, Lower Kensington, Cork"
POINT (-8.483450016231956 51.89588999929646),"Lancaster Gate, 1 Western Road, Cork"
POINT (-8.455599969465112 51.89017999539627),"1 Dryden Place, Cork"
POINT (-8.506509551035375 51.891017233604714),"Victoria Cross, Cork"
POINT (-8.472568381077853 51.89900348238433),"Opera Lane, Cork"
POINT (-8.437654709489923 51.878676951825796),"Douglas Road, Douglas, Cork"
